a52dec 0.8.0-2
openpmix 4.2.3-2
openresolv 3.13.1-1
openssh 9.3p1-1
openssl 3.0.9-1
opus 1.4-1
orc 0.4.34-1
p11-kit 0.24.1-1
pacman 6.0.2-7
pacman-mirrorlist 20230410-1
pam 1.5.3-3
pambase 20221020-1
pamixer 1.6-2
pango 1:1.50.14-1
pangomm 2.46.3-1
parted 3.6-1
patch 2.7.6-10
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.10.0-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
perl 5.36.1-1
perl-clone 0.46-1
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.19-1
perl-www-robotrules 6.02-11
pinentry 1.2.1-1
pipewire 1:0.3.71-2
pipewire-alsa 1:0.3.71-2
pipewire-audio 1:0.3.71-2
pipewire-jack 1:0.3.71-2
pipewire-pulse 1:0.3.71-2
pixman 0.42.2-1
pkgconf 1.8.1-1
playerctl 2.4.1-3
polkit 122-1
polkit-gnome 0.105-10
poppler 23.05.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postman-bin 10.14.2-1
powerkit 1.0.0-8
procps-ng 3.3.17-1
protobuf 21.12-2
psmisc 23.6-1
python 3.11.3-1
python-chardet 5.1.0-3
python-idna 3.4-3
python-mako 1.2.4-3
python-markdown 3.4.3-2
python-markupsafe 2.1.2-3
python-requests 2.28.2-4
python-tqdm 4.65.0-3
python-typing_extensions 4.6.2-1
python-urllib3 1.26.15-1
qbittorrent 4.5.3-1
qrencode 4.1.1-2
qt5-3d 5.15.9-1
qt5-base 5.15.9+kde+r155-1
qt5-charts 5.15.9-1
qt5-connectivity 5.15.9+kde+r5-1
qt5-datavis3d 5.15.9-1
qt5-declarative 5.15.9+kde+r26-1
qt5-doc 5.15.9-1
qt5-examples 5.15.9-1
qt5-gamepad 5.15.9-1
qt5-graphicaleffects 5.15.9-1
qt5-imageformats 5.15.9+kde+r9-1
qt5-location 5.15.9+kde+r4-1
qt5-lottie 5.15.9-1
qt5-multimedia 5.15.9+kde+r3-1
qt5-networkauth 5.15.9-1
qt5-purchasing 5.15.9-1
qt5-quick3d 5.15.9+kde+r1-1
qt5-quickcontrols 5.15.9-1
qt5-quickcontrols2 5.15.9+kde+r6-1
qt5-quicktimeline 5.15.9-1
qt5-remoteobjects 5.15.9-1
qt5-script 5.15.14-1
qt5-scxml 5.15.9-1
qt5-sensors 5.15.9-1
qt5-serialbus 5.15.9-1
qt5-serialport 5.15.9-1
qt5-speech 5.15.9+kde+r1-1
qt5-svg 5.15.9+kde+r8-1
qt5-tools 5.15.9+kde+r1-1
qt5-translations 5.15.9-1
qt5-virtualkeyboard 5.15.9-1
qt5-wayland 5.15.9+kde+r55-1
qt5-webchannel 5.15.9+kde+r3-1
qt5-webengine 5.15.14-1
qt5-webglplugin 5.15.9-1
qt5-websockets 5.15.9+kde+r2-1
qt5-webview 5.15.9-1
qt5-x11extras 5.15.9-1
qt5-xmlpatterns 5.15.9-1
qt6-5compat 6.5.1-1
qt6-base 6.5.1-1
qt6-declarative 6.5.1-1
qt6-imageformats 6.5.1-1
qt6-svg 6.5.1-1
qt6-translations 6.5.1-1
qt6-wayland 6.5.1-1
raptor 2.0.16-2
rasqal 1:0.9.33-6
rav1e 0.6.6-1
re2 1:20230301-1
readline 8.2.001-2
redland 1:1.0.17-8
rhash 1.4.3-1
rnnoise 0.4.1-1
rtkit 0.13-2
rubberband 3.2.1-1
runc 1.1.7-1
sbc 2.0-1
scdoc 1.11.2-5
sddm 0.19.0-9
sdl2 2.26.5-2
seatd 0.7.0-3
sed 4.9-3
semver 7.3.8-1
serd 0.30.16-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
slurp 1.4.0-1
snappy 1.1.9-2
sndio 1.9.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
spdlog 1.11.0-2
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.42.0-1
sratom 0.6.14-1
srt 1.5.1-3
starship 1.14.2-1
startup-notification 0.12-8
sudo 1.9.13.p3-1
svt-av1 1.5.0-1
swappy 1.5.1-1
swaybg 1.2.0-1
swayidle 1.8.0-1
swaylock-effects 1.6.4-1
systemd 253.4-1
systemd-libs 253.4-1
systemd-sysvcompat 253.4-1
tar 1.34-2
tdb 1.4.8-2
telegram-desktop 4.8.1-3
terminus-font 4.49.1-5
texinfo 7.0.3-1
thin-provisioning-tools 1.0.4-1
thunar 4.18.6-1
tinycompress 1.2.8-2
tpm2-tss 4.0.1-1
tracker3 3.5.3-1
tree-sitter 0.20.8-3
tslib 1.22-1
ttf-carlito 20230509-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-font-awesome 6.4.0-1
ttf-font-awesome-5 5.15.4-1
ttf-hack 3.003-6
ttf-jetbrains-mono 2.304-1
ttf-jetbrains-mono-nerd 3.0.1-1
ttf-liberation 2.1.5-1
ttf-meslo-nerd-font-powerlevel10k 2.3.3-1
ttf-opensans 1.101-2
ttf-roboto 2.138-4
ttf-twemoji-color 13.1.0-1
ttf-ubuntu-font-family 1:0.83-1
tzdata 2023c-2
udisks2 2.9.4-1
unibilium 2.1.1-1
upower 1.90.0-4
usbmuxd 1.1.1-3
util-linux 2.39-4
util-linux-libs 2.39-4
v4l-utils 1.24.1-2
vid.stab 1.1.1-1
visual-studio-code-bin 1.78.2-1
vmaf 2.3.1-1
volume_key 0.3.12-8
vulkan-headers 1:1.3.248-1
vulkan-icd-loader 1.3.245-1
vulkan-validation-layers 1.3.243.0-1
waybar 0.9.18-2
wayland 1.22.0-1
wayland-protocols 1.31-1
webrtc-audio-processing 0.3.1-3
which 2.21-6
wireguard-go-git 0.0.20230223.r22.g052af4a-1
wireguard-tools 1.0.20210914-1
wireplumber 0.4.14-1
wl-clipboard 1:2.1.0-3
wlogout 1.1.1-3
wofi 1.3-2
wpa_supplicant 2:2.10-8
wtype 0.4-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-proto 1.15.2-3
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xdg-desktop-portal 1.16.0-3
xdg-desktop-portal-hyprland-git 1:r285.4d9ff0c-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.3.0-1
xfce4-notifyd 0.8.2-1
xfce4-power-manager 4.18.2-1
xfce4-settings 4.18.2-1
xfconf 4.18.1-1
xfsprogs 6.3.0-1
xkb-switch 1.8.5-1
xkeyboard-config 2.38-1
xmlsec 1.2.37-1
xorg-appres 1.0.6-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.8-1
xorg-server-common 21.1.8-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xset 1.2.5-1
xorg-xwayland 23.1.1-1
xorgproto 2022.2-1
xscreensaver 6.06-1
xvidcore 1.3.7-2
xxhash 0.8.1-4
xz 5.4.3-1
yay-git 12.0.5.r11.g29f47a4-1
zeromq 4.3.4-4
zimg 3.0.4-1
zita-convolver 4.0.3-3
zlib 1:1.2.13-2
zram-generator 1.1.2-1
zsh 5.9-3
zstd 1.5.5-1
zxing-cpp 2.0.0-2
